people_id,calorie_level
1,1000
2,1400
3,1400
4,1400
5,1600
6,1600
7,1600
8,1800
9,1800
10,2000
11,2200
12,2200
13,2400
14,2600
15,2800
16,2800
17,2800
18,2800
19,2800
20,2800
21,2800
22,2800
23,2800
24,2800
25,2600
26,2600
27,2600
28,2600
29,2600
30,2600
31,2600
32,2600
33,2600
34,2600
35,2600
36,2600
37,2600
38,2600
39,2600
40,2600
41,2600
42,2600
43,2600
44,2600
45,2400
46,2400
47,2400
48,2400
49,2400
50,2400
51,2400
52,2400
53,2400
54,2400
55,2400
56,2400
57,2400
58,2400
59,2400
60,2400
61,2400
62,2400
63,2400
64,2400
65,2200
66,2200
67,2200
68,2200
69,2200
70,2200
71,2200
72,2200
73,2200
74,2200
75,2200
76,2200
77,2200
78,2200
79,2200
80,2200
81,2200
82,2200
83,2200
84,2200
85,2200
86,2200
87,2200
88,2200
89,2200
90,2200
91,2200
92,2200
93,2200
94,2200
95,2200
96,2200
97,2200
98,2200
99,2200
100,1000
101,1200
102,1400
103,1400
104,1400
105,1600
106,1600
107,1600
108,1800
109,1800
110,2000
111,2000
112,2000
113,2000
114,2000
115,2000
116,2000
117,2200
118,2201
119,2200
120,2200
121,2200
122,2200
123,2200
124,2000
125,2000
126,2000
127,2000
128,2000
129,2000
130,2000
131,2000
132,2000
133,2000
134,2000
135,2000
136,2000
137,2000
138,2000
139,2000
140,2000
141,2000
142,2000
143,2000
144,2000
145,2000
146,2000
147,2000
148,2000
149,1800
150,1800
151,1800
152,1800
153,1800
154,1800
155,1800
156,1800
157,1800
158,1800
159,1800
160,1800
161,1800
162,1800
163,1800
164,1800
165,1800
166,1800
167,1800
168,1800
169,1800
170,1800
171,1800
172,1800
173,1800
174,1800
175,1800
176,1800
177,1800
178,1800
179,1800
180,1800
181,1800
182,1800
183,1800
184,1800
185,1800
186,1800
187,1800
188,1800
189,1800
190,1800
191,1800
192,1800
193,1800
194,1800
195,1800
196,1800
197,1800
198,1800
